id,label
1,truck
2,truck
3,truck
4,horse
5,horse
6,horse
7,dog
8,horse
9,frog
10,truck
11,bird
12,horse
13,cat
14,cat
15,truck
16,bird
17,frog
18,truck
19,ship
20,truck
21,deer
22,airplane
23,horse
24,truck
25,cat
26,frog
27,truck
28,truck
29,airplane
30,truck
31,cat
32,truck
33,truck
34,truck
35,truck
36,truck
37,horse
38,truck
39,airplane
40,frog
41,horse
42,frog
43,truck
44,truck
45,truck
46,truck
47,truck
48,horse
49,frog
50,truck
51,cat
52,truck
53,horse
54,horse
55,bird
56,deer
57,truck
58,deer
59,bird
60,truck
61,cat
62,horse
63,horse
64,truck
65,ship
66,truck
67,ship
68,bird
69,cat
70,truck
71,frog
72,automobile
73,truck
74,frog
75,frog
76,cat
77,bird
78,truck
79,deer
80,truck
81,deer
82,truck
83,truck
84,truck
85,ship
86,truck
87,truck
88,ship
89,truck
90,dog
91,truck
92,ship
93,truck
94,truck
95,truck
96,truck
97,frog
98,bird
99,truck
100,deer
101,horse
102,truck
103,truck
104,truck
105,truck
106,ship
107,horse
108,truck
109,truck
110,truck
111,frog
112,truck
113,truck
114,horse
115,truck
116,truck
117,truck
118,truck
119,truck
120,truck
121,frog
122,truck
123,truck
124,truck
125,deer
126,cat
127,horse
128,truck
129,horse
130,horse
131,truck
132,truck
133,truck
134,truck
135,truck
136,truck
137,horse
138,truck
139,ship
140,truck
141,horse
142,truck
143,horse
144,automobile
145,frog
146,deer
147,truck
148,truck
149,truck
150,truck
151,automobile
152,truck
153,horse
154,bird
155,truck
156,truck
157,truck
158,truck
159,truck
160,horse
161,horse
162,cat
163,airplane
164,truck
165,frog
166,deer
167,truck
168,truck
169,truck
170,truck
171,dog
172,truck
173,truck
174,truck
175,frog
176,automobile
177,truck
178,horse
179,automobile
180,truck
181,truck
182,truck
183,automobile
184,cat
185,frog
186,horse
187,truck
188,truck
189,truck
190,airplane
191,truck
192,ship
193,bird
194,horse
195,truck
196,frog
197,truck
198,cat
199,bird
200,truck
201,truck
202,truck
203,truck
204,truck
205,cat
206,horse
207,horse
208,cat
209,truck
210,horse
211,truck
212,frog
213,horse
214,truck
215,horse
216,truck
217,truck
218,frog
219,truck
220,bird
221,deer
222,deer
223,horse
224,ship
225,truck
226,horse
227,truck
228,automobile
229,truck
230,horse
231,frog
232,truck
233,horse
234,truck
235,truck
236,truck
237,cat
238,truck
239,truck
240,cat
241,horse
242,truck
243,truck
244,frog
245,truck
246,horse
247,truck
248,truck
249,truck
250,ship
251,airplane
252,airplane
253,ship
254,deer
255,truck
256,bird
257,truck
258,horse
259,truck
260,truck
261,deer
262,truck
263,truck
264,horse
265,truck
266,frog
267,truck
268,cat
269,frog
270,truck
271,truck
272,horse
273,horse
274,truck
275,truck
276,truck
277,frog
278,truck
279,truck
280,truck
281,truck
282,truck
283,cat
284,cat
285,truck
286,horse
287,frog
288,truck
289,truck
290,cat
291,ship
292,truck
293,ship
294,cat
295,airplane
296,horse
297,horse
298,ship
299,truck
300,horse
301,automobile
302,truck
303,truck
304,deer
305,truck
306,truck
307,bird
308,frog
309,truck
310,truck
311,truck
312,truck
313,bird
314,truck
315,truck
316,truck
317,truck
318,horse
319,truck
320,truck
321,truck
322,truck
323,ship
324,truck
325,dog
326,horse
327,truck
328,truck
329,truck
330,truck
331,truck
332,truck
333,truck
334,truck
335,frog
336,truck
337,truck
338,truck
339,deer
340,ship
341,ship
342,truck
343,truck
344,bird
345,truck
346,truck
347,ship
348,truck
349,truck
350,truck
351,truck
352,bird
353,frog
354,horse
355,horse
356,truck
357,cat
358,horse
359,dog
360,truck
361,truck
362,ship
363,bird
364,cat
365,truck
366,truck
367,horse
368,truck
369,truck
370,ship
371,truck
372,horse
373,truck
374,truck
375,truck
376,ship
377,truck
378,truck
379,truck
380,truck
381,horse
382,truck
383,horse
384,truck
385,truck
386,horse
387,ship
388,dog
389,deer
390,truck
391,truck
392,truck
393,cat
394,bird
395,truck
396,truck
397,truck
398,ship
399,horse
400,truck
401,frog
402,truck
403,automobile
404,horse
405,ship
406,ship
407,truck
408,truck
409,frog
410,truck
411,truck
412,truck
413,ship
414,frog
415,truck
416,cat
417,truck
418,airplane
419,frog
420,cat
421,truck
422,truck
423,truck
424,bird
425,airplane
426,deer
427,truck
428,truck
429,truck
430,truck
431,horse
432,horse
433,truck
434,deer
435,truck
436,horse
437,truck
438,truck
439,truck
440,truck
441,truck
442,truck
443,truck
444,frog
445,truck
446,truck
447,truck
448,truck
449,airplane
450,truck
451,frog
452,horse
453,cat
454,truck
455,truck
456,truck
457,automobile
458,horse
459,bird
460,truck
461,horse
462,deer
463,truck
464,deer
465,truck
466,truck
467,dog
468,airplane
469,truck
470,truck
471,frog
472,horse
473,truck
474,truck
475,horse
476,truck
477,ship
478,frog
479,ship
480,frog
481,truck
482,truck
483,truck
484,truck
485,truck
486,truck
487,truck
488,truck
489,truck
490,frog
491,truck
492,truck
493,dog
494,truck
495,truck
496,truck
497,truck
498,truck
499,truck
500,horse
501,frog
502,deer
503,cat
504,horse
505,truck
506,ship
507,truck
508,truck
509,truck
510,truck
511,truck
512,truck
513,truck
514,cat
515,deer
516,truck
517,cat
518,ship
519,cat
520,truck
521,horse
522,horse
523,truck
524,truck
525,truck
526,cat
527,truck
528,truck
529,frog
530,deer
531,truck
532,cat
533,ship
534,cat
535,truck
536,horse
537,frog
538,truck
539,truck
540,truck
541,truck
542,truck
543,frog
544,truck
545,truck
546,ship
547,truck
548,truck
549,horse
550,truck
551,airplane
552,truck
553,truck
554,horse
555,cat
556,truck
557,truck
558,ship
559,cat
560,cat
561,automobile
562,truck
563,frog
564,horse
565,deer
566,truck
567,ship
568,deer
569,truck
570,truck
571,truck
572,horse
573,deer
574,cat
575,truck
576,horse
577,truck
578,truck
579,truck
580,frog
581,truck
582,truck
583,truck
584,truck
585,truck
586,truck
587,truck
588,truck
589,bird
590,truck
591,horse
592,frog
593,truck
594,truck
595,automobile
596,airplane
597,truck
598,truck
599,horse
600,bird
601,truck
602,frog
603,cat
604,truck
605,truck
606,truck
607,airplane
608,airplane
609,truck
610,truck
611,truck
612,airplane
613,cat
614,cat
615,frog
616,truck
617,truck
618,truck
619,horse
620,horse
621,horse
622,truck
623,truck
624,cat
625,truck
626,truck
627,cat
628,horse
629,horse
630,deer
631,ship
632,truck
633,bird
634,truck
635,truck
636,truck
637,bird
638,cat
639,cat
640,truck
641,truck
642,truck
643,frog
644,truck
645,truck
646,truck
647,deer
648,horse
649,deer
650,bird
651,horse
652,truck
653,horse
654,horse
655,truck
656,truck
657,deer
658,truck
659,bird
660,truck
661,horse
662,cat
663,truck
664,airplane
665,truck
666,truck
667,truck
668,truck
669,cat
670,truck
671,airplane
672,truck
673,truck
674,bird
675,horse
676,truck
677,truck
678,truck
679,horse
680,truck
681,truck
682,truck
683,bird
684,truck
685,truck
686,truck
687,bird
688,horse
689,truck
690,horse
691,deer
692,ship
693,bird
694,truck
695,truck
696,truck
697,frog
698,deer
699,truck
700,truck
701,truck
702,truck
703,truck
704,cat
705,truck
706,truck
707,truck
708,truck
709,truck
710,automobile
711,truck
712,truck
713,truck
714,truck
715,truck
716,cat
717,horse
718,cat
719,truck
720,truck
721,truck
722,truck
723,horse
724,truck
725,airplane
726,truck
727,truck
728,horse
729,deer
730,frog
731,airplane
732,cat
733,truck
734,cat
735,horse
736,truck
737,cat
738,truck
739,truck
740,truck
741,frog
742,truck
743,truck
744,truck
745,cat
746,truck
747,frog
748,truck
749,truck
750,truck
751,bird
752,cat
753,truck
754,truck
755,truck
756,truck
757,deer
758,cat
759,truck
760,truck
761,truck
762,truck
763,airplane
764,truck
765,cat
766,deer
767,cat
768,truck
769,bird
770,ship
771,horse
772,truck
773,frog
774,horse
775,automobile
776,truck
777,dog
778,truck
779,frog
780,truck
781,truck
782,truck
783,truck
784,cat
785,deer
786,truck
787,cat
788,cat
789,truck
790,horse
791,truck
792,truck
793,truck
794,dog
795,truck
796,truck
797,truck
798,deer
799,truck
800,ship
801,truck
802,horse
803,horse
804,truck
805,cat
806,truck
807,truck
808,truck
809,cat
810,truck
811,truck
812,truck
813,truck
814,truck
815,truck
816,truck
817,cat
818,truck
819,truck
820,cat
821,truck
822,truck
823,truck
824,truck
825,dog
826,truck
827,automobile
828,truck
829,truck
830,automobile
831,frog
832,deer
833,cat
834,bird
835,truck
836,ship
837,truck
838,frog
839,truck
840,bird
841,horse
842,deer
843,ship
844,truck
845,truck
846,frog
847,truck
848,truck
849,truck
850,truck
851,truck
852,truck
853,truck
854,cat
855,horse
856,ship
857,deer
858,truck
859,truck
860,cat
861,truck
862,horse
863,truck
864,bird
865,truck
866,truck
867,cat
868,ship
869,cat
870,truck
871,truck
872,truck
873,truck
874,cat
875,ship
876,truck
877,truck
878,frog
879,truck
880,cat
881,truck
882,frog
883,cat
884,truck
885,truck
886,cat
887,horse
888,truck
889,frog
890,truck
891,cat
892,truck
893,ship
894,truck
895,deer
896,horse
897,truck
898,horse
899,horse
900,truck
901,truck
902,truck
903,truck
904,automobile
905,airplane
906,frog
907,truck
908,frog
909,deer
910,truck
911,truck
912,dog
913,cat
914,horse
915,truck
916,ship
917,horse
918,horse
919,truck
920,truck
921,truck
922,frog
923,cat
924,cat
925,cat
926,truck
927,automobile
928,frog
929,automobile
930,truck
931,cat
932,truck
933,truck
934,truck
935,truck
936,truck
937,cat
938,truck
939,truck
940,ship
941,ship
942,horse
943,truck
944,ship
945,truck
946,ship
947,truck
948,bird
949,truck
950,truck
951,truck
952,frog
953,truck
954,truck
955,truck
956,deer
957,truck
958,truck
959,truck
960,truck
961,truck
962,truck
963,truck
964,frog
965,cat
966,truck
967,ship
968,horse
969,truck
970,cat
971,cat
972,truck
973,bird
974,truck
975,truck
976,airplane
977,truck
978,truck
979,truck
980,truck
981,truck
982,bird
983,truck
984,deer
985,truck
986,truck
987,cat
988,truck
989,truck
990,truck
991,truck
992,ship
993,frog
994,horse
995,deer
996,truck
997,truck
998,truck
999,truck
1000,truck
1001,truck
1002,dog
1003,frog
